Abstract from facility WITHOUT CoC accreditation/All Sites/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
7,6-<7 mo,"11,643",13,730,99.74%,96.10%,99.85%,98.95%,99.88%,97.09%,0.09%,0.29%,0.09%,0.30%
8,7-<8 mo,"10,900",14,647,99.67%,95.78%,99.85%,98.81%,99.81%,96.91%,0.11%,0.31%,0.11%,0.31%
9,8-<9 mo,"10,239",14,662,99.64%,95.45%,99.85%,98.67%,99.79%,96.71%,0.11%,0.32%,0.11%,0.33%
10,9-<10 mo,"9,563",8,681,99.78%,95.24%,99.85%,98.52%,99.92%,96.64%,0.09%,0.33%,0.09%,0.34%
11,10-<11 mo,"8,874",15,676,99.60%,94.87%,99.85%,98.38%,99.74%,96.40%,0.13%,0.35%,0.13%,0.36%
12,11-<12 mo,"8,183",6,628,99.78%,94.67%,99.85%,98.24%,99.90%,96.31%,0.10%,0.36%,0.10%,0.37%
13,12-<13 mo,"7,549",9,648,99.74%,94.43%,99.84%,98.08%,99.89%,96.22%,0.10%,0.37%,0.10%,0.38%
14,13-<14 mo,"6,892",6,688,99.83%,94.27%,99.84%,97.92%,99.99%,96.21%,0.09%,0.38%,0.09%,0.38%
15,14-<15 mo,"6,198",8,665,99.63%,93.94%,99.84%,97.76%,99.80%,96.04%,0.15%,0.40%,0.15%,0.42%
16,15-<16 mo,"5,525",1,584,99.99%,93.93%,99.84%,97.60%,100.00%,96.04%,0.01%,0.40%,0.01%,0.42%
17,16-<17 mo,"4,940",3,696,99.89%,93.83%,99.84%,97.45%,99.99%,96.03%,0.09%,0.41%,0.09%,0.42%
18,17-<18 mo,"4,241",1,652,99.89%,93.74%,99.84%,97.29%,100.00%,96.03%,0.11%,0.42%,0.11%,0.42%
19,18-<19 mo,"3,588",1,606,99.99%,93.72%,99.84%,97.14%,99.99%,96.03%,0.01%,0.42%,0.01%,0.42%
20,19-<20 mo,"2,981",0,604,100.00%,93.72%,99.84%,96.98%,100.00%,96.03%,0.00%,0.42%,0.00%,0.42%
21,20-<21 mo,"2,377",0,624,100.00%,93.72%,99.85%,96.83%,100.00%,96.03%,0.00%,0.42%,0.00%,0.42%
22,21-<22 mo,"1,753",0,559,100.00%,93.72%,99.85%,96.69%,100.00%,96.03%,0.00%,0.42%,0.00%,0.42%
23,22-<23 mo,"1,194",1,631,99.54%,93.31%,99.85%,96.54%,99.66%,96.03%,0.46%,0.58%,0.46%,0.42%
24,23-<24 mo,562,1,561,+,+,99.85%,96.40%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANALYTIC abstract from facility WITH CoC accreditation/Other Endocrine including Thymus/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,774,15,32,97.61%,97.61%,99.81%,99.81%,97.76%,97.76%,0.70%,0.70%,0.70%,0.70%
2,1-<2 mo,727,22,32,96.77%,94.45%,99.81%,99.62%,96.95%,94.81%,0.77%,1.01%,0.77%,1.02%
3,2-<3 mo,673,11,29,98.14%,92.71%,99.82%,99.44%,98.33%,93.23%,0.64%,1.15%,0.64%,1.16%
4,3-<4 mo,633,10,32,97.49%,90.42%,99.82%,99.26%,97.67%,91.07%,0.82%,1.34%,0.82%,1.36%
5,4-<5 mo,591,9,26,98.04%,88.68%,99.82%,99.08%,98.22%,89.48%,0.74%,1.45%,0.74%,1.47%
6,5-<6 mo,556,12,42,96.78%,85.91%,99.83%,98.91%,96.95%,86.81%,1.00%,1.63%,1.00%,1.65%
7,6-<7 mo,502,7,29,98.48%,84.63%,99.83%,98.74%,98.65%,85.65%,0.68%,1.69%,0.68%,1.72%
8,7-<8 mo,466,3,25,99.30%,84.06%,99.83%,98.58%,99.44%,85.19%,0.49%,1.72%,0.49%,1.76%
9,8-<9 mo,438,3,28,99.25%,83.45%,99.83%,98.41%,99.39%,84.68%,0.52%,1.75%,0.52%,1.80%
10,9-<10 mo,407,4,33,98.92%,82.56%,99.83%,98.24%,99.09%,83.96%,0.62%,1.80%,0.63%,1.85%
11,10-<11 mo,370,6,20,98.08%,81.02%,99.82%,98.07%,98.25%,82.53%,0.91%,1.90%,0.91%,1.95%
12,11-<12 mo,344,4,23,98.85%,80.11%,99.82%,97.90%,99.00%,81.72%,0.71%,1.95%,0.71%,2.01%
13,12-<13 mo,317,0,19,100.00%,80.11%,99.80%,97.71%,100.00%,81.72%,0.00%,1.95%,0.00%,2.01%
14,13-<14 mo,298,0,45,100.00%,80.11%,99.80%,97.51%,100.00%,81.72%,0.00%,1.95%,0.00%,2.01%
15,14-<15 mo,253,1,17,99.17%,79.52%,99.79%,97.31%,99.33%,81.46%,0.83%,2.01%,0.83%,2.09%
16,15-<16 mo,235,2,18,99.31%,78.92%,99.79%,97.11%,99.35%,81.02%,0.50%,2.05%,0.50%,2.13%
17,16-<17 mo,215,4,26,97.44%,77.04%,99.79%,96.91%,97.61%,79.31%,1.44%,2.23%,1.45%,2.34%
18,17-<18 mo,185,3,22,97.88%,75.44%,99.80%,96.72%,98.07%,77.84%,1.37%,2.39%,1.37%,2.51%
19,18-<19 mo,160,1,23,98.54%,74.49%,99.81%,96.54%,98.69%,76.92%,1.43%,2.51%,1.44%,2.65%
20,19-<20 mo,136,2,30,97.70%,72.96%,99.83%,96.38%,97.83%,75.41%,1.87%,2.71%,1.88%,2.86%
21,20-<21 mo,104,0,31,100.00%,72.96%,99.84%,96.23%,100.00%,75.41%,0.00%,2.71%,0.00%,2.86%
22,21-<22 mo,73,2,22,95.57%,70.12%,99.84%,96.08%,95.68%,72.57%,3.58%,3.35%,3.59%,3.57%
23,22-<23 mo,49,0,24,100.00%,70.12%,99.85%,95.94%,100.00%,72.57%,0.00%,3.35%,0.00%,3.57%
24,23-<24 mo,25,0,25,+,+,99.86%,95.81%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANALYTIC abstract from facility WITH CoC accreditation/Lymphoma/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"20,631",932,777,94.79%,94.79%,99.77%,99.77%,95.00%,95.00%,0.17%,0.17%,0.17%,0.17%
2,1-<2 mo,"18,922",512,752,96.78%,91.79%,99.78%,99.56%,96.98%,92.18%,0.14%,0.21%,0.14%,0.21%
3,2-<3 mo,"17,658",354,881,97.57%,89.63%,99.79%,99.35%,97.78%,90.19%,0.13%,0.23%,0.13%,0.23%
4,3-<4 mo,"16,423",244,794,98.22%,88.09%,99.79%,99.14%,98.42%,88.81%,0.12%,0.25%,0.12%,0.25%
5,4-<5 mo,"15,385",194,831,98.46%,86.79%,99.79%,98.93%,98.67%,87.67%,0.11%,0.26%,0.11%,0.26%
6,5-<6 mo,"14,360",150,796,98.73%,85.73%,99.79%,98.73%,98.93%,86.77%,0.11%,0.27%,0.11%,0.27%
7,6-<7 mo,"13,414",141,816,98.78%,84.73%,99.80%,98.53%,98.99%,85.91%,0.11%,0.28%,0.11%,0.28%
8,7-<8 mo,"12,457",122,778,98.84%,83.79%,99.80%,98.33%,99.04%,85.11%,0.11%,0.29%,0.11%,0.29%
9,8-<9 mo,"11,557",83,813,99.21%,83.13%,99.80%,98.13%,99.41%,84.61%,0.09%,0.29%,0.09%,0.30%
10,9-<10 mo,"10,661",77,752,99.09%,82.42%,99.80%,97.93%,99.30%,84.04%,0.11%,0.30%,0.11%,0.31%
11,10-<11 mo,"9,832",74,705,99.11%,81.73%,99.80%,97.74%,99.31%,83.48%,0.11%,0.31%,0.11%,0.32%
12,11-<12 mo,"9,053",83,787,98.91%,80.86%,99.80%,97.55%,99.11%,82.75%,0.12%,0.32%,0.12%,0.33%
13,12-<13 mo,"8,183",55,618,99.16%,80.22%,99.78%,97.33%,99.37%,82.25%,0.12%,0.33%,0.12%,0.34%
14,13-<14 mo,"7,510",47,732,99.26%,79.65%,99.78%,97.12%,99.48%,81.83%,0.11%,0.34%,0.11%,0.35%
15,14-<15 mo,"6,731",34,758,99.42%,79.20%,99.78%,96.91%,99.64%,81.53%,0.10%,0.34%,0.11%,0.36%
16,15-<16 mo,"5,939",29,647,99.41%,78.76%,99.78%,96.71%,99.63%,81.24%,0.11%,0.35%,0.12%,0.37%
17,16-<17 mo,"5,263",20,757,99.49%,78.39%,99.79%,96.50%,99.71%,81.01%,0.12%,0.36%,0.12%,0.38%
18,17-<18 mo,"4,486",18,614,99.47%,78.00%,99.79%,96.31%,99.68%,80.75%,0.13%,0.37%,0.13%,0.39%
19,18-<19 mo,"3,854",15,631,99.46%,77.61%,99.79%,96.11%,99.67%,80.49%,0.14%,0.38%,0.14%,0.40%
20,19-<20 mo,"3,208",7,653,99.72%,77.40%,99.79%,95.92%,99.90%,80.41%,0.11%,0.39%,0.11%,0.41%
21,20-<21 mo,"2,548",3,689,99.83%,77.29%,99.79%,95.72%,99.98%,80.39%,0.10%,0.39%,0.10%,0.41%
22,21-<22 mo,"1,856",16,621,98.74%,76.37%,99.80%,95.53%,98.94%,79.65%,0.32%,0.45%,0.32%,0.48%
23,22-<23 mo,"1,219",7,676,99.10%,75.74%,99.81%,95.35%,99.26%,79.09%,0.36%,0.51%,0.36%,0.55%
24,23-<24 mo,536,1,535,+,+,99.83%,95.19%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANALYTIC abstract from facility WITH CoC accreditation/Hodgkin Lymphoma/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"2,521",31,102,96.24%,96.24%,99.80%,99.80%,96.42%,96.42%,0.74%,0.74%,0.75%,0.75%
2,1-<2 mo,"2,388",26,103,96.91%,93.31%,99.80%,99.61%,97.10%,93.67%,0.70%,0.97%,0.70%,0.97%
3,2-<3 mo,"2,259",24,107,96.88%,90.50%,99.81%,99.41%,97.07%,91.00%,0.75%,1.14%,0.75%,1.15%
4,3-<4 mo,"2,128",14,99,98.19%,88.94%,99.81%,99.22%,98.38%,89.60%,0.61%,1.22%,0.61%,1.24%
5,4-<5 mo,"2,015",11,105,97.96%,87.23%,99.81%,99.03%,98.14%,88.02%,0.67%,1.31%,0.68%,1.33%
6,5-<6 mo,"1,899",4,102,99.67%,86.96%,99.81%,98.85%,99.83%,87.87%,0.28%,1.32%,0.28%,1.34%
7,6-<7 mo,"1,793",6,99,99.46%,86.50%,99.81%,98.66%,99.64%,87.59%,0.34%,1.34%,0.34%,1.37%
8,7-<8 mo,"1,688",5,113,98.87%,85.60%,99.81%,98.48%,99.06%,86.82%,0.56%,1.38%,0.56%,1.42%
9,8-<9 mo,"1,570",5,123,99.51%,85.16%,99.81%,98.29%,99.54%,86.40%,0.30%,1.41%,0.30%,1.44%
10,9-<10 mo,"1,442",2,115,99.29%,84.62%,99.81%,98.11%,99.45%,86.10%,0.50%,1.44%,0.50%,1.48%
11,10-<11 mo,"1,325",1,108,99.97%,84.60%,99.81%,97.92%,99.98%,86.08%,0.03%,1.44%,0.03%,1.48%
12,11-<12 mo,"1,216",4,120,98.47%,83.42%,99.81%,97.73%,98.65%,85.18%,0.77%,1.52%,0.77%,1.58%
13,12-<13 mo,"1,092",1,88,99.97%,83.39%,99.79%,97.53%,99.97%,85.16%,0.03%,1.52%,0.03%,1.58%
14,13-<14 mo,"1,003",2,85,99.63%,83.06%,99.79%,97.32%,99.66%,84.89%,0.34%,1.54%,0.34%,1.60%
15,14-<15 mo,916,1,93,99.96%,83.02%,99.79%,97.12%,99.97%,84.85%,0.04%,1.54%,0.04%,1.60%
16,15-<16 mo,822,2,68,99.54%,82.63%,99.79%,96.92%,99.58%,84.51%,0.41%,1.58%,0.41%,1.64%
17,16-<17 mo,752,0,96,100.00%,82.63%,99.80%,96.73%,100.00%,84.51%,0.00%,1.58%,0.00%,1.64%
18,17-<18 mo,656,0,90,100.00%,82.63%,99.80%,96.53%,100.00%,84.51%,0.00%,1.58%,0.00%,1.64%
19,18-<19 mo,566,2,100,97.87%,81.08%,99.79%,96.34%,98.03%,83.78%,1.47%,1.86%,1.48%,1.97%
20,19-<20 mo,464,1,90,98.57%,80.10%,99.80%,96.15%,98.72%,82.84%,1.41%,2.05%,1.42%,2.19%
21,20-<21 mo,373,0,110,100.00%,80.10%,99.81%,95.97%,100.00%,82.84%,0.00%,2.05%,0.00%,2.19%
22,21-<22 mo,263,1,93,98.47%,78.81%,99.80%,95.78%,98.50%,81.68%,1.49%,2.39%,1.49%,2.53%
23,22-<23 mo,169,0,97,100.00%,78.81%,99.80%,95.60%,100.00%,81.68%,0.00%,2.39%,0.00%,2.53%
24,23-<24 mo,72,0,72,+,+,99.88%,95.49%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANALYTIC abstract from facility WITH CoC accreditation/Hodgkin - Nodal/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"2,488",28,102,96.27%,96.27%,99.80%,99.80%,96.45%,96.45%,0.76%,0.76%,0.76%,0.76%
2,1-<2 mo,"2,358",25,102,96.93%,93.37%,99.80%,99.61%,97.12%,93.73%,0.71%,0.98%,0.71%,0.99%
3,2-<3 mo,"2,231",24,105,96.78%,90.47%,99.81%,99.42%,96.96%,90.97%,0.77%,1.16%,0.77%,1.17%
4,3-<4 mo,"2,102",12,99,98.62%,89.28%,99.81%,99.23%,98.81%,89.93%,0.53%,1.22%,0.53%,1.24%
5,4-<5 mo,"1,991",11,105,97.90%,87.51%,99.81%,99.04%,98.08%,88.29%,0.69%,1.32%,0.70%,1.34%
6,5-<6 mo,"1,875",4,102,99.66%,87.23%,99.81%,98.86%,99.82%,88.14%,0.29%,1.33%,0.29%,1.35%
7,6-<7 mo,"1,769",6,97,99.44%,86.75%,99.81%,98.67%,99.63%,87.83%,0.35%,1.35%,0.35%,1.38%
8,7-<8 mo,"1,666",3,111,99.34%,86.24%,99.81%,98.49%,99.50%,87.44%,0.45%,1.38%,0.45%,1.41%
9,8-<9 mo,"1,552",5,123,99.50%,85.78%,99.81%,98.30%,99.53%,87.03%,0.31%,1.40%,0.31%,1.44%
10,9-<10 mo,"1,424",2,112,99.27%,85.22%,99.81%,98.12%,99.42%,86.70%,0.51%,1.44%,0.52%,1.48%
11,10-<11 mo,"1,310",1,107,99.97%,85.20%,99.81%,97.93%,99.98%,86.68%,0.03%,1.44%,0.03%,1.48%
12,11-<12 mo,"1,202",4,119,98.41%,83.97%,99.81%,97.74%,98.60%,85.73%,0.79%,1.53%,0.80%,1.59%
13,12-<13 mo,"1,079",1,86,99.97%,83.93%,99.79%,97.54%,99.97%,85.71%,0.03%,1.53%,0.03%,1.59%
14,13-<14 mo,992,2,84,99.61%,83.59%,99.78%,97.33%,99.65%,85.42%,0.35%,1.55%,0.35%,1.61%
15,14-<15 mo,906,1,91,99.96%,83.55%,99.79%,97.13%,99.97%,85.39%,0.04%,1.56%,0.04%,1.61%
16,15-<16 mo,814,2,68,99.53%,83.13%,99.79%,96.93%,99.56%,85.03%,0.43%,1.59%,0.43%,1.65%
17,16-<17 mo,744,0,95,100.00%,83.13%,99.79%,96.73%,100.00%,85.03%,0.00%,1.59%,0.00%,1.65%
18,17-<18 mo,649,0,90,100.00%,83.13%,99.80%,96.54%,100.00%,85.03%,0.00%,1.59%,0.00%,1.65%
19,18-<19 mo,559,2,98,97.87%,81.58%,99.79%,96.34%,98.03%,84.29%,1.47%,1.87%,1.48%,1.99%
20,19-<20 mo,459,1,90,98.57%,80.59%,99.80%,96.16%,98.72%,83.34%,1.41%,2.07%,1.42%,2.21%
21,20-<21 mo,368,0,108,100.00%,80.59%,99.81%,95.97%,100.00%,83.34%,0.00%,2.07%,0.00%,2.21%
22,21-<22 mo,260,1,93,98.38%,79.20%,99.80%,95.79%,98.41%,82.10%,1.57%,2.45%,1.58%,2.59%
23,22-<23 mo,166,0,94,100.00%,79.20%,99.80%,95.60%,100.00%,82.10%,0.00%,2.45%,0.00%,2.59%
24,23-<24 mo,72,0,72,+,+,99.88%,95.49%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANALYTIC abstract from facility WITH CoC accreditation/Hodgkin - Extranodal/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,33,3,0,92.88%,92.88%,99.75%,99.75%,92.91%,92.91%,4.22%,4.22%,4.23%,4.23%
2,1-<2 mo,30,1,1,95.40%,88.93%,99.75%,99.50%,95.43%,88.99%,4.20%,5.17%,4.20%,5.18%
3,2-<3 mo,28,0,2,100.00%,88.93%,99.75%,99.25%,100.00%,88.99%,0.00%,5.17%,0.00%,5.18%
4,3-<4 mo,26,2,0,87.50%,76.43%,99.75%,99.00%,87.65%,77.10%,7.47%,9.09%,7.51%,9.21%
5,4-<5 mo,24,0,0,100.00%,76.43%,99.77%,98.78%,100.00%,77.10%,0.00%,9.09%,0.00%,9.21%
6,5-<6 mo,24,0,0,100.00%,76.43%,99.77%,98.55%,100.00%,77.10%,0.00%,9.09%,0.00%,9.21%
7,6-<7 mo,24,0,2,100.00%,76.43%,99.77%,98.33%,100.00%,77.10%,0.00%,9.09%,0.00%,9.21%
8,7-<8 mo,22,2,2,85.73%,66.24%,99.77%,98.11%,85.91%,67.33%,9.26%,9.91%,9.29%,10.19%
9,8-<9 mo,18,0,0,100.00%,66.24%,99.82%,97.94%,100.00%,67.33%,0.00%,9.91%,0.00%,10.19%
10,9-<10 mo,18,0,3,100.00%,66.24%,99.82%,97.76%,100.00%,67.33%,0.00%,9.91%,0.00%,10.19%
11,10-<11 mo,15,0,1,100.00%,66.24%,99.82%,97.59%,100.00%,67.33%,0.00%,9.91%,0.00%,10.19%
12,11-<12 mo,14,0,1,100.00%,66.24%,99.82%,97.42%,100.00%,67.33%,0.00%,9.91%,0.00%,10.19%
13,12-<13 mo,13,0,2,100.00%,66.24%,99.86%,97.28%,100.00%,67.33%,0.00%,9.91%,0.00%,10.19%
14,13-<14 mo,11,0,1,100.00%,66.24%,99.84%,97.13%,100.00%,67.33%,0.00%,9.91%,0.00%,10.19%
15,14-<15 mo,10,0,2,100.00%,66.24%,99.84%,96.97%,100.00%,67.33%,0.00%,9.91%,0.00%,10.19%
16,15-<16 mo,8,0,0,100.00%,66.24%,99.84%,96.82%,100.00%,67.33%,0.00%,9.91%,0.00%,10.19%
17,16-<17 mo,8,0,1,+,+,99.84%,96.67%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANALYTIC abstract from facility WITH CoC accreditation/Non-Hodgkin Lymphoma/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
1,< 1 mo,"18,110",901,675,94.61%,94.61%,99.77%,99.77%,94.82%,94.82%,0.17%,0.17%,0.17%,0.17%
2,1-<2 mo,"16,534",486,649,96.73%,91.57%,99.78%,99.55%,96.94%,91.97%,0.15%,0.21%,0.15%,0.22%
3,2-<3 mo,"15,399",330,774,97.57%,89.42%,99.79%,99.34%,97.78%,89.98%,0.13%,0.24%,0.13%,0.24%
4,3-<4 mo,"14,295",230,695,98.19%,87.85%,99.79%,99.13%,98.40%,88.58%,0.12%,0.25%,0.12%,0.26%
5,4-<5 mo,"13,370",183,726,98.45%,86.53%,99.79%,98.92%,98.65%,87.42%,0.12%,0.27%,0.12%,0.27%
6,5-<6 mo,"12,461",146,694,98.66%,85.42%,99.79%,98.72%,98.87%,86.46%,0.11%,0.28%,0.11%,0.28%
7,6-<7 mo,"11,621",135,717,98.72%,84.36%,99.79%,98.52%,98.92%,85.55%,0.11%,0.29%,0.11%,0.30%
8,7-<8 mo,"10,769",117,665,98.79%,83.37%,99.79%,98.32%,99.00%,84.71%,0.11%,0.30%,0.11%,0.31%
9,8-<9 mo,"9,987",78,690,99.16%,82.69%,99.79%,98.12%,99.37%,84.17%,0.10%,0.31%,0.10%,0.32%
10,9-<10 mo,"9,219",75,637,99.06%,81.94%,99.80%,97.92%,99.26%,83.57%,0.11%,0.32%,0.11%,0.32%
11,10-<11 mo,"8,507",73,597,99.04%,81.18%,99.80%,97.72%,99.24%,82.95%,0.11%,0.32%,0.12%,0.33%
12,11-<12 mo,"7,837",79,667,98.88%,80.30%,99.80%,97.53%,99.08%,82.19%,0.13%,0.34%,0.13%,0.35%
13,12-<13 mo,"7,091",54,530,99.11%,79.61%,99.78%,97.31%,99.33%,81.66%,0.12%,0.35%,0.12%,0.36%
14,13-<14 mo,"6,507",45,647,99.22%,79.01%,99.78%,97.10%,99.44%,81.20%,0.12%,0.35%,0.12%,0.37%
15,14-<15 mo,"5,815",33,665,99.37%,78.53%,99.78%,96.89%,99.59%,80.87%,0.11%,0.36%,0.11%,0.38%
16,15-<16 mo,"5,117",27,579,99.39%,78.07%,99.78%,96.68%,99.61%,80.56%,0.12%,0.37%,0.12%,0.39%
17,16-<17 mo,"4,511",20,661,99.46%,77.67%,99.78%,96.48%,99.67%,80.30%,0.12%,0.38%,0.12%,0.40%
18,17-<18 mo,"3,830",18,524,99.43%,77.25%,99.79%,96.28%,99.64%,80.02%,0.14%,0.39%,0.14%,0.41%
19,18-<19 mo,"3,288",13,531,99.52%,76.89%,99.79%,96.08%,99.73%,79.80%,0.14%,0.40%,0.14%,0.42%
20,19-<20 mo,"2,744",6,563,99.74%,76.70%,99.79%,95.89%,99.92%,79.73%,0.11%,0.41%,0.11%,0.43%
21,20-<21 mo,"2,175",3,579,99.82%,76.57%,99.79%,95.69%,99.97%,79.70%,0.11%,0.41%,0.11%,0.43%
22,21-<22 mo,"1,593",15,528,98.73%,75.66%,99.80%,95.50%,98.93%,78.95%,0.33%,0.47%,0.33%,0.50%
23,22-<23 mo,"1,050",7,579,99.01%,74.95%,99.81%,95.32%,99.17%,78.32%,0.39%,0.54%,0.39%,0.57%
24,23-<24 mo,464,1,463,+,+,99.82%,95.16%,+,+,+,+,+,+
,,,,,,,,,,,,,,
,Median survival time (interval = 1 month):  Observed is greater than 24 intervals; Relative is greater than 24 intervals.,,,,,,,,,,,,,
,Confidence interval:  Log(-Log()) Transformation.  The level is 95%.,,,,,,,,,,,,,
,Actuarial method.  Ederer II method used for cumulative expected.,,,,,,,,,,,,,
  *,The relative survival is over 100 percent and has been adjusted.,,,,,,,,,,,,,
  #,The relative cumulative survival increased from a prior interval and has been adjusted.,,,,,,,,,,,,,
  +,The statistic could not be calculated.,,,,,,,,,,,,,
  @,The width of the confidence interval is more than 25% larger than if the normal approximation was applied.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ANALYTIC abstract from facility WITH CoC accreditation/NHL - Nodal/Age-Standardized Life,,,,,,,,,,,,,,
,,Alive at, ,Lost to ,Observed,Observed,Expected,Expected,Relative,Relative,SE Obs,SE Obs,SE Rel,SE Rel
,,Start,Died,Follow-up,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum,Interval,Cum
